"SRA.Accession","SRP.Accession","Pubmed.ID","Celltype","Tissue...Region","Selection","Biological.Replicate","Other.Notes"
"SRR1782648","SRP053008","27504473","Newborn Neurons","Embryo, Lateral Cortex (E14.5)","Btg2::RFP+ and Tubb3::GFP+","1",""
"SRR1782649","SRP053008","27504473","Newborn Neurons","Embryo, Lateral Cortex (E14.5)","Btg2::RFP+ and Tubb3::GFP+","2",""
"SRR1782657","SRP053008","27504473","Newborn Neurons","Embryo, Lateral Cortex (E14.5)","Btg2::RFP+ and Tubb3::GFP+","3",""
"SRR1782658","SRP053008","27504473","Newborn Neurons","Embryo, Lateral Cortex (E14.5)","Btg2::RFP+ and Tubb3::GFP+","4",""
"SRR1782666","SRP053008","27504473","Newborn Neurons","Embryo, Lateral Cortex (E14.5)","Btg2::RFP+ and Tubb3::GFP+","5",""
"SRR1782667","SRP053008","27504473","Newborn Neurons","Embryo, Lateral Cortex (E14.5)","Btg2::RFP+ and Tubb3::GFP+","6",""
"SRR3212810","SRP071321","28007900","Purkinje Cells","Cerebellum (4wk)","Pcp2-BacTrap (Rbm17 f/+ background)","1",""
"SRR3212811","SRP071321","28007900","Purkinje Cells","Cerebellum (4wk)","Pcp2-BacTrap (Rbm17 f/+ background)","2",""
"SRR3212812","SRP071321","28007900","Purkinje Cells","Cerebellum (4wk)","Pcp2-BacTrap (Rbm17 f/+ background)","3",""
"SRR3212813","SRP071321","28007900","Purkinje Cells","Cerebellum (4wk)","Pcp2-BacTrap (Rbm17 f/+ background)","4",""
"SRR3212816","SRP071321","28007900","Purkinje Cells","Cerebellum (4wk)","Pcp2-BacTrap (Rbm17 f/+ background)","5",""
"SRR3212817","SRP071321","28007900","Purkinje Cells","Cerebellum (4wk)","Pcp2-BacTrap (Rbm17 f/+ background)","6",""
"SRR3212818","SRP071321","28007900","Purkinje Cells","Cerebellum (4wk)","Pcp2-BacTrap (Rbm17 f/+ background)","7",""
"SRR3212819","SRP071321","28007900","Purkinje Cells","Cerebellum (4wk)","Pcp2-BacTrap (Rbm17 f/+ background)","8",""
"SRR3212820","SRP071321","28007900","Purkinje Cells","Cerebellum (4wk)","Pcp2-BacTrap (Rbm17 f/+ background)","9",""
"SRR3212821","SRP071321","28007900","Purkinje Cells","Cerebellum (4wk)","Pcp2-BacTrap (Rbm17 f/+ background)","10",""
"SRR3212804","SRP071321","28007900","Purkinje Cells","Cerebellum (4wk)","Pcp2-BacTrap (Rbm17 f/+ background)","11",""
"SRR3212805","SRP071321","28007900","Purkinje Cells","Cerebellum (4wk)","Pcp2-BacTrap (Rbm17 f/+ background)","12",""
"SRR3212806","SRP071321","28007900","Purkinje Cells","Cerebellum (4wk)","Pcp2-BacTrap (Rbm17 f/+ background)","13",""
"SRR3212807","SRP071321","28007900","Purkinje Cells","Cerebellum (4wk)","Pcp2-BacTrap (Rbm17 f/+ background)","14",""
"SRR3212808","SRP071321","28007900","Purkinje Cells","Cerebellum (4wk)","Pcp2-BacTrap (Rbm17 f/+ background)","15",""
"SRR3212809","SRP071321","28007900","Purkinje Cells","Cerebellum (4wk)","Pcp2-BacTrap (Rbm17 f/+ background)","16",""
"SRR3212814","SRP071321","28007900","Purkinje Cells","Cerebellum (4wk)","Pcp2-BacTrap (Rbm17 f/+ background)","17",""
"SRR3212815","SRP071321","28007900","Purkinje Cells","Cerebellum (4wk)","Pcp2-BacTrap (Rbm17 f/+ background)","18",""
"SRR579545","SRP015997","23258890","Brain","Brain (adult)","No selection, whole tissue","1",""
"SRR579546","SRP015997","23258890","Brain","Brain (adult)","No selection, whole tissue","2",""
"SRR579547","SRP015997","23258890","Liver","Liver (adult)","No selection, whole tissue","1",""
"SRR579548","SRP015997","23258890","Kidney","Kidney (adult)","No selection, whole tissue","1",""
"SRR579549","SRP015997","23258890","Heart","Heart (adult)","No selection, whole tissue","1",""
"SRR579550","SRP015997","23258890","Skeletal Muscle","Skeletal Muscle (adult)","No selection, whole tissue","1",""
"SRR594393","SRP016501","23258891","Brain","Brain (adult)","No selection, whole tissue","1","DBA/2J"
"SRR594394","SRP016501","23258891","Colon","Colon (adult)","No selection, whole tissue","1","DBA/2J"
"SRR594396","SRP016501","23258891","Kidney","Kidney (adult)","No selection, whole tissue","1","DBA/2J"
"SRR594397","SRP016501","23258891","Liver","Liver (adult)","No selection, whole tissue","1","DBA/2J"
"SRR594399","SRP016501","23258891","Skeletal Muscle","Skeletal Muscle (adult)","No selection, whole tissue","1","DBA/2J"
"SRR594400","SRP016501","23258891","Spleen","Spleen (adult)","No selection, whole tissue","1","DBA/2J"
"SRR594401","SRP016501","23258891","Testes","Testes (adult)","No selection, whole tissue","1","DBA/2J"
"SRR594402","SRP016501","23258891","Brain","Brain (adult)","No selection, whole tissue","1","C57BL/6"
"SRR594403","SRP016501","23258891","Colon","Colon (adult)","No selection, whole tissue","1","C57BL/6"
"SRR594404","SRP016501","23258891","Kidney","Kidney (adult)","No selection, whole tissue","1","C57BL/6"
"SRR594405","SRP016501","23258891","Liver","Liver (adult)","No selection, whole tissue","1","C57BL/6"
"SRR594406","SRP016501","23258891","Lung","Lung (adult)","No selection, whole tissue","1","C57BL/6"
"SRR594407","SRP016501","23258891","Skeletal Muscle","Skeletal Muscle (adult)","No selection, whole tissue","1","C57BL/6"
"SRR594408","SRP016501","23258891","Spleen","Spleen (adult)","No selection, whole tissue","1","C57BL/6"
"SRR594409","SRP016501","23258891","Testes","Testes (adult)","No selection, whole tissue","1","C57BL/6"
