Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR2138614,2016-01-04 17:04:03,2016-11-21 23:30:55,5508844,496170688,0,90,323,GCF_000001635.20,https://sra-download.ncbi.nlm.nih.gov/traces/sra14/SRR/002088/SRR2138614,SRX1127678,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP061902,PRJNA291624,2,291624,SRS1021070,SAMN03946747,simple,10090,Mus musculus,GSM1839202,,,,,,,no,,,,,GEO,SRA281408,,public,88A6A3142D87DFCDB06804674EBE3962,FDA6627FD7C7F3D72B3E41F7B038898C
SRR2138615,2016-01-04 17:04:03,2016-11-21 23:40:52,9015321,811480831,0,90,491,GCF_000001635.20,https://sra-download.ncbi.nlm.nih.gov/traces/sra32/SRR/002088/SRR2138615,SRX1127679,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP061902,PRJNA291624,2,291624,SRS1021069,SAMN03946748,simple,10090,Mus musculus,GSM1839203,,,,,,,no,,,,,GEO,SRA281408,,public,E9E70F448463261378CBC493A7639D87,0BF489A5B28E559C6F9E7DF6D5BEB22A
SRR2138616,2016-01-04 17:04:03,2016-11-22 23:10:44,20970448,1885462400,0,89,1193,GCF_000001635.20,https://sra-download.ncbi.nlm.nih.gov/traces/sra38/SRR/002088/SRR2138616,SRX1127680,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP061902,PRJNA291624,2,291624,SRS1021072,SAMN03946749,simple,10090,Mus musculus,GSM1839204,,,,,,,no,,,,,GEO,SRA281408,,public,E8F4336BF11BF5A3D205F4EE00067CFD,FBDE3C1E92500D82ED2E777FFC55F093
SRR2138617,2016-01-04 17:04:03,2016-11-22 23:11:21,21697473,1943073148,0,89,1235,GCF_000001635.20,https://sra-download.ncbi.nlm.nih.gov/traces/sra35/SRR/002088/SRR2138617,SRX1127681,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP061902,PRJNA291624,2,291624,SRS1021066,SAMN03946750,simple,10090,Mus musculus,GSM1839205,,,,,,,no,,,,,GEO,SRA281408,,public,FCAB93AD764A585AEE3E57082ED9667C,760018ED427FA2C12F7760F82B19C161
SRR2138618,2016-01-04 17:04:03,2016-11-21 23:41:11,24441607,2160152049,0,88,1377,GCF_000001635.20,https://sra-download.ncbi.nlm.nih.gov/traces/sra32/SRR/002088/SRR2138618,SRX1127682,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP061902,PRJNA291624,2,291624,SRS1021068,SAMN03946751,simple,10090,Mus musculus,GSM1839206,,,,,,,no,,,,,GEO,SRA281408,,public,1C53841DA2C1FD17185ADD3C15ED555D,C81C471F002A25F1A67EB5719FF2808B
SRR2138619,2016-01-04 17:04:03,2016-11-22 23:06:22,25376533,2224206664,0,87,1404,GCF_000001635.20,https://sra-download.ncbi.nlm.nih.gov/traces/sra20/SRR/002088/SRR2138619,SRX1127683,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP061902,PRJNA291624,2,291624,SRS1021067,SAMN03946752,simple,10090,Mus musculus,GSM1839207,,,,,,,no,,,,,GEO,SRA281408,,public,618FE8B873ABAEBB8A76071F53C3EA89,9A3EFF282C91EF3306947D45498A05B6
SRR2138620,2016-01-04 17:04:03,2016-11-22 23:02:59,8341956,756428279,0,90,257,GCF_000001635.20,https://sra-download.ncbi.nlm.nih.gov/traces/sra42/SRR/002088/SRR2138620,SRX1127684,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP061902,PRJNA291624,2,291624,SRS1021062,SAMN03946753,simple,10090,Mus musculus,GSM1839208,,,,,,,no,,,,,GEO,SRA281408,,public,E2FA339A9B25F4428133C02F8C152C43,DAC879792DDDB069021B484832ADBD0E
SRR2138621,2016-01-04 17:04:03,2016-11-21 23:40:13,8623013,777912629,0,90,279,GCF_000001635.20,https://sra-download.ncbi.nlm.nih.gov/traces/sra7/SRR/002088/SRR2138621,SRX1127685,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP061902,PRJNA291624,2,291624,SRS1021065,SAMN03946754,simple,10090,Mus musculus,GSM1839209,,,,,,,no,,,,,GEO,SRA281408,,public,58CAE0B672FE50E8351219A786AD2809,B90CD965609DDBD06FA9324EFD890BEA
SRR2138622,2016-01-04 17:04:03,2016-11-21 23:40:20,7882937,700200659,0,88,248,GCF_000001635.20,https://sra-download.ncbi.nlm.nih.gov/traces/sra29/SRR/002088/SRR2138622,SRX1127686,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP061902,PRJNA291624,2,291624,SRS1021061,SAMN03946755,simple,10090,Mus musculus,GSM1839210,,,,,,,no,,,,,GEO,SRA281408,,public,2DD9D46126F1572B8C957600146FEF0A,22689E272B21BF3989456A8EE843C07D
SRR2138623,2016-01-04 17:04:03,2016-11-21 23:32:21,8838139,798440992,0,90,278,GCF_000001635.20,https://sra-download.ncbi.nlm.nih.gov/traces/sra34/SRR/002088/SRR2138623,SRX1127687,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP061902,PRJNA291624,2,291624,SRS1021060,SAMN03946756,simple,10090,Mus musculus,GSM1839211,,,,,,,no,,,,,GEO,SRA281408,,public,07476B179C6E20DD7807C13252D328BC,1BDA0C322497370E808E5728E610EA2B
SRR2138624,2016-01-04 17:04:03,2016-11-21 23:33:02,7504132,658071857,0,87,227,GCF_000001635.20,https://sra-download.ncbi.nlm.nih.gov/traces/sra16/SRR/002088/SRR2138624,SRX1127688,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP061902,PRJNA291624,2,291624,SRS1021063,SAMN03946729,simple,10090,Mus musculus,GSM1839212,,,,,,,no,,,,,GEO,SRA281408,,public,097BA362D78307F8C8A0E6C1BD4D9C27,D61C0909407EDE7E6C700D06A99B76FA
SRR2138625,2016-01-04 17:04:03,2016-11-22 23:06:08,7603916,691776843,0,90,224,GCF_000001635.20,https://sra-download.ncbi.nlm.nih.gov/traces/sra19/SRR/002088/SRR2138625,SRX1127689,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP061902,PRJNA291624,2,291624,SRS1021064,SAMN03946730,simple,10090,Mus musculus,GSM1839213,,,,,,,no,,,,,GEO,SRA281408,,public,8351EC51404B114C6679CDD3FBA8CEFF,6D933AAB366E1A291DD0D26AF8430D45
SRR2138626,2016-01-04 17:04:03,2016-11-22 23:12:16,6918001,627003943,0,90,217,GCF_000001635.20,https://sra-download.ncbi.nlm.nih.gov/traces/sra35/SRR/002088/SRR2138626,SRX1127690,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP061902,PRJNA291624,2,291624,SRS1021058,SAMN03946731,simple,10090,Mus musculus,GSM1839214,,,,,,,no,,,,,GEO,SRA281408,,public,868F1615C8EAB3FD98F8EAD0AE84E336,FEA8EFE371D88007CCADD21E44878D63
SRR2138627,2016-01-04 17:04:03,2016-11-21 23:36:47,6621624,600812530,0,90,185,GCF_000001635.20,https://sra-download.ncbi.nlm.nih.gov/traces/sra16/SRR/002088/SRR2138627,SRX1127691,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP061902,PRJNA291624,2,291624,SRS1021059,SAMN03946732,simple,10090,Mus musculus,GSM1839215,,,,,,,no,,,,,GEO,SRA281408,,public,9FADCAE617DA13984A84CE3AD7E29521,EE0CE30F6F5485304720EA88D4ECE759
SRR2138628,2016-01-04 17:04:03,2016-11-22 23:04:16,6585276,598562863,0,90,204,GCF_000001635.20,https://sra-download.ncbi.nlm.nih.gov/traces/sra36/SRR/002088/SRR2138628,SRX1127692,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP061902,PRJNA291624,2,291624,SRS1021055,SAMN03946733,simple,10090,Mus musculus,GSM1839216,,,,,,,no,,,,,GEO,SRA281408,,public,DFD61BA04D312841FAF50AD6FF718EA3,B4BE6E1B826FE6FB2A5BC685DA335887
SRR2138629,2016-01-04 17:04:03,2016-11-22 23:04:17,6971590,626988996,0,89,212,GCF_000001635.20,https://sra-download.ncbi.nlm.nih.gov/traces/sra21/SRR/002088/SRR2138629,SRX1127693,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP061902,PRJNA291624,2,291624,SRS1021056,SAMN03946734,simple,10090,Mus musculus,GSM1839217,,,,,,,no,,,,,GEO,SRA281408,,public,753F81B409F0614EA406676DA6881E24,FEFBDF90678703A4E78291A0E77867D1
SRR2138630,2016-01-04 17:04:03,2016-11-21 23:36:47,5827892,531378375,0,91,178,GCF_000001635.20,https://sra-download.ncbi.nlm.nih.gov/traces/sra8/SRR/002088/SRR2138630,SRX1127694,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP061902,PRJNA291624,2,291624,SRS1021054,SAMN03946735,simple,10090,Mus musculus,GSM1839218,,,,,,,no,,,,,GEO,SRA281408,,public,D01932B4D032F8F04FC93B7E83420FCB,526928CF2BF228DE0BD7949EFCC53904
SRR2138631,2016-01-04 17:04:03,2016-11-21 23:38:14,8000037,737787959,0,92,240,GCF_000001635.20,https://sra-download.ncbi.nlm.nih.gov/traces/sra4/SRR/002088/SRR2138631,SRX1127695,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP061902,PRJNA291624,2,291624,SRS1021057,SAMN03946736,simple,10090,Mus musculus,GSM1839219,,,,,,,no,,,,,GEO,SRA281408,,public,1DDF5D8D0E7B2B2B2AE01C3D05276F90,17BDDC2BD28521CDA482F5E93916F026
SRR2138632,2016-01-04 17:04:03,2016-11-21 23:37:37,7679226,705091211,0,91,233,GCF_000001635.20,https://sra-download.ncbi.nlm.nih.gov/traces/sra15/SRR/002088/SRR2138632,SRX1127696,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP061902,PRJNA291624,2,291624,SRS1021053,SAMN03946548,simple,10090,Mus musculus,GSM1839220,,,,,,,no,,,,,GEO,SRA281408,,public,F25D1D1A2EB60E957790C1B8B6EC7589,6FC69EAA0AFB60BF82A2FE7AF3CDF99D
SRR2138633,2016-01-04 17:04:03,2016-11-22 23:04:35,7808015,712105638,0,91,243,GCF_000001635.20,https://sra-download.ncbi.nlm.nih.gov/traces/sra35/SRR/002088/SRR2138633,SRX1127697,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP061902,PRJNA291624,2,291624,SRS1021052,SAMN03946549,simple,10090,Mus musculus,GSM1839221,,,,,,,no,,,,,GEO,SRA281408,,public,0B3E00BFD395D1371F7E31A3102B5F20,D518A79B5A373A80CD8832F421768B6E
SRR2138634,2016-01-04 17:04:03,2016-11-21 23:37:08,7595767,697494149,0,91,236,GCF_000001635.20,https://sra-download.ncbi.nlm.nih.gov/traces/sra31/SRR/002088/SRR2138634,SRX1127698,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP061902,PRJNA291624,2,291624,SRS1021049,SAMN03946550,simple,10090,Mus musculus,GSM1839222,,,,,,,no,,,,,GEO,SRA281408,,public,B3E0566BCD901C9BA51362B1B9A7D36F,86DAE398344DD899B07FCB59DECEDC6F
SRR2138635,2016-01-04 17:04:03,2016-11-22 23:13:30,8671522,787587972,0,90,268,GCF_000001635.20,https://sra-download.ncbi.nlm.nih.gov/traces/sra36/SRR/002088/SRR2138635,SRX1127699,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP061902,PRJNA291624,2,291624,SRS1021051,SAMN03946551,simple,10090,Mus musculus,GSM1839223,,,,,,,no,,,,,GEO,SRA281408,,public,8CDAFB9BB51BA2648DB3ECDBD01014FE,3B8BE80F5797130DC4646695223B5D4D
SRR2138636,2016-01-04 17:04:03,2016-11-22 23:10:19,7477048,673704855,0,90,226,GCF_000001635.20,https://sra-download.ncbi.nlm.nih.gov/traces/sra21/SRR/002088/SRR2138636,SRX1127700,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP061902,PRJNA291624,2,291624,SRS1021048,SAMN03946552,simple,10090,Mus musculus,GSM1839224,,,,,,,no,,,,,GEO,SRA281408,,public,7DE70B3051B7D08E1B3F5F78C7BB1048,E71486126E9E8E2388FD533EA1305D2E
SRR2138637,2016-01-04 17:04:03,2016-11-22 23:11:07,7975979,726056004,0,91,238,GCF_000001635.20,https://sra-download.ncbi.nlm.nih.gov/traces/sra19/SRR/002088/SRR2138637,SRX1127701,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP061902,PRJNA291624,2,291624,SRS1021047,SAMN03946553,simple,10090,Mus musculus,GSM1839225,,,,,,,no,,,,,GEO,SRA281408,,public,9ADB524673658AE933C9D82C6CDAF99E,FE12317787010B2DF5EDC0D4727B487B
SRR2138638,2016-01-04 17:04:03,2016-11-21 23:33:59,5804796,520803626,0,89,178,GCF_000001635.20,https://sra-download.ncbi.nlm.nih.gov/traces/sra7/SRR/002088/SRR2138638,SRX1127702,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP061902,PRJNA291624,2,291624,SRS1021050,SAMN03946554,simple,10090,Mus musculus,GSM1839226,,,,,,,no,,,,,GEO,SRA281408,,public,75EA12FE08D113351DD7E5553A69A596,C1757BE68A480F79317D79F6EBDAB70D
SRR2138639,2016-01-04 17:04:03,2016-11-22 23:10:43,7662721,694962104,0,90,232,GCF_000001635.20,https://sra-download.ncbi.nlm.nih.gov/traces/sra22/SRR/002088/SRR2138639,SRX1127703,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP061902,PRJNA291624,2,291624,SRS1021046,SAMN03946555,simple,10090,Mus musculus,GSM1839227,,,,,,,no,,,,,GEO,SRA281408,,public,0E0CE90040450719ECA531EBFB76962A,7F94757A70E92DED2C30EE68896D82B4
SRR2138640,2016-01-04 17:04:03,2016-11-22 23:10:12,7694134,696022361,0,90,223,GCF_000001635.20,https://sra-download.ncbi.nlm.nih.gov/traces/sra19/SRR/002088/SRR2138640,SRX1127704,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP061902,PRJNA291624,2,291624,SRS1021045,SAMN03946556,simple,10090,Mus musculus,GSM1839228,,,,,,,no,,,,,GEO,SRA281408,,public,3179EC5A22B217CE3BB691D8380BB386,BC321C312DA7FD31AB651C80AE42C363
SRR2138641,2016-01-04 17:04:03,2016-11-22 23:20:30,10942411,1004408694,0,91,333,GCF_000001635.20,https://sra-download.ncbi.nlm.nih.gov/traces/sra38/SRR/002088/SRR2138641,SRX1127705,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP061902,PRJNA291624,2,291624,SRS1021044,SAMN03946557,simple,10090,Mus musculus,GSM1839229,,,,,,,no,,,,,GEO,SRA281408,,public,C1445A59DECC509AD73E7E9D725E02AC,A9D768434F1ECB8C7B681E29F72F7465
SRR2138642,2016-01-04 17:04:03,2016-11-21 23:42:02,7737993,709573870,0,91,248,GCF_000001635.20,https://sra-download.ncbi.nlm.nih.gov/traces/sra17/SRR/002088/SRR2138642,SRX1127706,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP061902,PRJNA291624,2,291624,SRS1021043,SAMN03946558,simple,10090,Mus musculus,GSM1839230,,,,,,,no,,,,,GEO,SRA281408,,public,B860C4076AC1730AD5096831BE7E871B,5C6378BEBC39350CB522DD305019A50E
SRR2138643,2016-01-04 17:04:03,2016-11-22 23:10:36,7553923,672795771,0,89,215,GCF_000001635.20,https://sra-download.ncbi.nlm.nih.gov/traces/sra36/SRR/002088/SRR2138643,SRX1127707,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP061902,PRJNA291624,2,291624,SRS1021042,SAMN03946559,simple,10090,Mus musculus,GSM1839231,,,,,,,no,,,,,GEO,SRA281408,,public,8049AFC918A9260AA1332947688BD059,D6F0B4A5F6555D782CA6D53915D9405F
SRR2138644,2016-01-04 17:04:03,2016-11-22 23:15:19,7062711,645352462,0,91,235,GCF_000001635.20,https://sra-download.ncbi.nlm.nih.gov/traces/sra21/SRR/002088/SRR2138644,SRX1127708,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP061902,PRJNA291624,2,291624,SRS1021039,SAMN03946560,simple,10090,Mus musculus,GSM1839232,,,,,,,no,,,,,GEO,SRA281408,,public,F9BBEF46041E6DDED3C8B2C625B3D1F5,251DB1D9BFF56A29B7BB7DF257B1B92D
SRR2138645,2016-01-04 17:04:03,2016-11-22 23:12:24,7848269,719404485,0,91,247,GCF_000001635.20,https://sra-download.ncbi.nlm.nih.gov/traces/sra37/SRR/002088/SRR2138645,SRX1127709,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP061902,PRJNA291624,2,291624,SRS1021038,SAMN03946561,simple,10090,Mus musculus,GSM1839233,,,,,,,no,,,,,GEO,SRA281408,,public,BC2D6D1D29EF823847AE0D9B5BB2566D,44BE04A087CC4E59ECF3EDF2A36661FB
SRR2138646,2016-01-04 17:04:03,2016-11-22 23:14:46,6895216,631787717,0,91,214,GCF_000001635.20,https://sra-download.ncbi.nlm.nih.gov/traces/sra19/SRR/002088/SRR2138646,SRX1127710,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP061902,PRJNA291624,2,291624,SRS1021040,SAMN03946562,simple,10090,Mus musculus,GSM1839234,,,,,,,no,,,,,GEO,SRA281408,,public,6E61C09169DFBE9D9ECAD2950AD1C9CE,710FC1E206956557E168EA5F986CF8F0
SRR2138647,2016-01-04 17:04:03,2016-11-22 23:17:32,9192237,844316722,0,91,291,GCF_000001635.20,https://sra-download.ncbi.nlm.nih.gov/traces/sra37/SRR/002088/SRR2138647,SRX1127711,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP061902,PRJNA291624,2,291624,SRS1021041,SAMN03946563,simple,10090,Mus musculus,GSM1839235,,,,,,,no,,,,,GEO,SRA281408,,public,658CB6A267148C481E3C021538B1F4FC,3B585B050032F4167FD8E01BF0132D52
SRR2138648,2016-01-04 17:04:03,2016-11-22 23:14:01,7552195,691809072,0,91,246,GCF_000001635.20,https://sra-download.ncbi.nlm.nih.gov/traces/sra43/SRR/002088/SRR2138648,SRX1127712,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP061902,PRJNA291624,2,291624,SRS1021036,SAMN03946564,simple,10090,Mus musculus,GSM1839236,,,,,,,no,,,,,GEO,SRA281408,,public,23E2ABE17AEF80618597213903667A56,CFC9279131DFED7C26DEF7061E3C2D48
SRR2138649,2016-01-04 17:04:03,2016-11-22 23:15:02,8100872,738610611,0,91,285,GCF_000001635.20,https://sra-download.ncbi.nlm.nih.gov/traces/sra19/SRR/002088/SRR2138649,SRX1127713,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP061902,PRJNA291624,2,291624,SRS1021037,SAMN03946565,simple,10090,Mus musculus,GSM1839237,,,,,,,no,,,,,GEO,SRA281408,,public,B3EB8E84C88F6C4E6B578AAAC8918D3A,CCD911F318C3A01C00544AC6B8A38B52
